,mRNA_name,mRNA_score,mRNA_label
261,PEBP1,0.9998132586479187,0.0
262,RNF215,0.9998132586479187,0.0
263,RNF125,0.9998131394386292,0.0
264,FYN,0.9998130202293396,0.0
265,MAST4,0.9998130202293396,0.0
266,EPDR1,0.9998130202293396,0.0
267,HYOU1,0.99981290102005,0.0
268,BEX4,0.9998121857643127,0.0
269,RFX3,0.9998120665550232,0.0
270,ATP2A1,0.9998120665550232,0.0
271,PCDH10,0.9998120665550232,0.0
272,VPS13B,0.9998118281364441,1.0
273,OTOP2,0.9998118281364441,1.0
274,EMP1,0.9998117089271545,1.0
275,PLP2,0.9998117089271545,0.0
276,COG8,0.999811589717865,0.0
277,CYB5D2,0.9998114705085754,0.0
278,ORAI2,0.9998113512992859,0.0
279,SIK1,0.9998112320899963,0.0
280,ITGB3,0.9998112320899963,0.0
281,FOXO1,0.9998108744621277,0.0
282,NLRP3,0.9998108744621277,1.0
283,SH3KBP1,0.9998107552528381,0.0
284,RRN3,0.9998106360435486,0.0
285,EGFR,0.999810516834259,0.0
286,MAB21L2,0.9998101592063904,0.0
287,IL6ST,0.9998100399971008,0.0
288,BEX2,0.9998098015785217,0.0
289,GLCE,0.9998098015785217,1.0
290,WDFY1,0.9998098015785217,0.0
291,OSBPL6,0.9998096823692322,0.0
292,BDH2,0.9998096823692322,0.0
293,TRIR,0.9998096823692322,0.0
294,PHACTR2,0.999809205532074,0.0
295,RAVER2,0.999809205532074,1.0
296,ARHGAP26,0.9998090863227844,1.0
297,AHNAK,0.9998089671134949,1.0
298,BMP3,0.9998088479042053,0.0
299,PRUNE2,0.9998088479042053,1.0
300,GOLGA4,0.9998088479042053,1.0
301,SMAD7,0.9998088479042053,0.0
302,TFAP2B,0.9998088479042053,0.0
303,VPS13C,0.9998087286949158,1.0
304,SCD5,0.9998086094856262,0.0
305,HECTD4,0.9998084902763367,0.0
306,MAP3K3,0.9998084902763367,0.0
307,EPM2AIP1,0.9998083710670471,1.0
308,RPS9,0.9998083710670471,0.0
309,FZD3,0.9998082518577576,0.0
310,SREBF2,0.999808132648468,0.0
311,MSANTD2,0.999808132648468,0.0
312,FBXL2,0.9998080134391785,0.0
313,GNMT,0.9998078942298889,0.0
314,CBX6,0.9998077750205994,0.0
315,BACE1,0.9998075366020203,0.0
316,SRSF1,0.9998074173927307,0.0
317,CELF2,0.9998074173927307,0.0
318,SLC26A4,0.9998072981834412,1.0
319,SLC4A10,0.9998072981834412,0.0
320,KRT36,0.9998069405555725,1.0
321,HIPK2,0.9998065829277039,0.0
322,RADIL,0.9998065829277039,0.0
323,IPCEF1,0.9998064637184143,0.0
324,SLC20A2,0.9998064637184143,1.0
325,MUC2,0.9998063445091248,0.0
326,TRIM23,0.9998063445091248,0.0
327,ZNF134,0.9998062252998352,0.0
328,PIK3R1,0.9998058676719666,1.0
329,PIP4K2A,0.9998058676719666,0.0
330,ZFP1,0.999805748462677,0.0
331,TMEM88,0.9998056292533875,0.0
332,ZNF503,0.9998055100440979,0.0
333,CXCL16,0.9998055100440979,0.0
334,EPHA7,0.9998055100440979,0.0
335,SMARCA2,0.9998050332069397,1.0
336,CRISPLD2,0.9998049139976501,1.0
337,ZNF875,0.9998047947883606,0.0
338,NR3C1,0.9998045563697815,0.0
339,TMX4,0.9998045563697815,1.0
340,AUTS2,0.9998044371604919,0.0
341,GK,0.9998044371604919,0.0
342,CRTAP,0.9998043179512024,0.0
343,PDCD4,0.9998043179512024,0.0
344,FAM47E,0.9998041987419128,0.0
345,TSPAN12,0.9998041987419128,0.0
346,FOXJ2,0.9998041987419128,0.0
347,FILIP1L,0.9998040795326233,1.0
348,PALLD,0.9998039603233337,0.0
349,ATP1A2,0.9998039603233337,0.0
350,PDK4,0.9998038411140442,1.0
351,XYLT2,0.9998037219047546,0.0
352,ENDOU,0.9998036026954651,0.0
353,NR2F1,0.9998036026954651,0.0
354,TOM1,0.9998036026954651,0.0
355,ARL2BP,0.9998036026954651,0.0
356,ZNF23,0.9998034834861755,0.0
357,ACOT12,0.999803364276886,0.0
358,HOPX,0.9998032450675964,0.0
359,AFF3,0.9998032450675964,0.0
360,CD81,0.9998032450675964,0.0
361,SGMS1,0.9998031258583069,1.0
362,ITPRIPL2,0.9998030066490173,0.0
363,MRPL49,0.9998027682304382,0.0
364,PKDCC,0.9998027682304382,0.0
365,FAM53B,0.9998026490211487,1.0
366,RNF146,0.99980229139328,0.0
367,PRRX1,0.99980229139328,1.0
368,WIPF3,0.9998021721839905,0.0
369,THBD,0.9998021721839905,1.0
370,FTH1,0.9998020529747009,0.0
371,SLC30A1,0.9998020529747009,0.0
372,PLEKHM3,0.9998020529747009,0.0
373,ZRANB2,0.9998019337654114,0.0
374,C1orf115,0.9998019337654114,0.0
375,MIF,0.9998018145561218,0.0
376,LTA4H,0.9998016953468323,0.0
377,KLF11,0.9998016953468323,0.0
378,SMAD3,0.9998014569282532,0.0
379,LRRN4CL,0.9998013377189636,0.0
380,RIOK3,0.9998012185096741,0.0
381,TMEM167A,0.9998012185096741,0.0
382,TCF21,0.9998010993003845,0.0
383,KCNN2,0.999800980091095,0.0
